Date,Price,Open,High,Low,Change %
"Jan 06, 2014",12.7218,12.7224,12.7447,12.6679,-0.06%
"Jan 07, 2014",12.7196,12.7202,12.7482,12.6952,-0.02%
"Jan 08, 2014",12.7538,12.7186,12.7731,12.6973,0.27%
"Jan 09, 2014",12.78,12.7521,12.7931,12.7466,0.21%
"Jan 10, 2014",12.7814,12.7778,12.8114,12.7164,0.01%
"Jan 13, 2014",12.7035,12.778,12.8012,12.6749,-0.61%
"Jan 14, 2014",12.7484,12.7029,12.7681,12.6891,0.35%
"Jan 15, 2014",12.6944,12.7443,12.7524,12.6548,-0.42%
"Jan 16, 2014",12.6822,12.6933,12.7043,12.6518,-0.10%
"Jan 17, 2014",12.7377,12.6809,12.7665,12.6467,0.44%
"Jan 20, 2014",12.7452,12.7329,12.763,12.7149,0.06%
"Jan 21, 2014",12.7807,12.7428,12.788,12.7193,0.28%
"Jan 22, 2014",12.859,12.7779,12.868,12.7582,0.61%
"Jan 23, 2014",12.9084,12.8573,12.9137,12.8409,0.38%
"Jan 24, 2014",12.7956,12.9072,12.939,12.7904,-0.87%
"Jan 27, 2014",12.8799,12.7927,12.8854,12.7856,0.66%
"Jan 28, 2014",12.8738,12.8791,12.9092,12.8355,-0.05%
"Jan 29, 2014",12.8591,12.8705,12.893,12.8295,-0.11%
"Jan 30, 2014",12.8042,12.8565,12.8643,12.7693,-0.43%
"Jan 31, 2014",12.7599,12.8031,12.8161,12.754,-0.35%
"Feb 03, 2014",12.6645,12.765,12.7671,12.6489,-0.75%
"Feb 04, 2014",12.6747,12.6639,12.6907,12.6196,0.08%
"Feb 05, 2014",12.6588,12.673,12.6865,12.6134,-0.13%
"Feb 06, 2014",12.6656,12.6573,12.6864,12.6237,0.05%
"Feb 07, 2014",12.7331,12.6646,12.7408,12.6445,0.53%
"Feb 10, 2014",12.7232,12.7306,12.7444,12.7048,-0.08%
"Feb 11, 2014",12.7591,12.7209,12.7894,12.7134,0.28%
"Feb 12, 2014",12.873,12.7581,12.876,12.7363,0.89%
"Feb 13, 2014",12.9206,12.8715,12.9329,12.8675,0.37%
"Feb 14, 2014",12.9878,12.9185,12.9967,12.9069,0.52%
"Feb 17, 2014",12.9623,12.984,13.0495,12.9448,-0.20%
"Feb 18, 2014",12.9377,12.9601,12.985,12.9146,-0.19%
"Feb 19, 2014",12.9359,12.9362,12.9779,12.9008,-0.01%
"Feb 20, 2014",12.9134,12.9344,12.9503,12.8927,-0.17%
"Feb 21, 2014",12.8866,12.912,12.9744,12.8816,-0.21%
"Feb 24, 2014",12.9232,12.888,12.9384,12.865,0.28%
"Feb 25, 2014",12.946,12.9208,12.9826,12.912,0.18%
"Feb 26, 2014",12.9399,12.9429,12.9582,12.8957,-0.05%
"Feb 27, 2014",12.9529,12.9393,12.9591,12.8936,0.10%
"Feb 28, 2014",12.9949,12.9508,13.0153,12.9407,0.32%
"Mar 03, 2014",12.9369,12.994,13.0017,12.9229,-0.45%
"Mar 04, 2014",12.9331,12.9345,12.9752,12.9119,-0.03%
"Mar 05, 2014",12.9781,12.9318,12.9941,12.9238,0.35%
"Mar 06, 2014",12.9913,12.9763,13.0205,12.9465,0.10%
"Mar 07, 2014",12.9727,12.9905,13.0282,12.9637,-0.14%
"Mar 10, 2014",12.9186,12.9716,12.9963,12.8984,-0.42%
"Mar 11, 2014",12.8987,12.9165,12.9257,12.8788,-0.15%
"Mar 12, 2014",12.9068,12.896,12.9168,12.8628,0.06%
"Mar 13, 2014",12.9095,12.9037,12.9814,12.8897,0.02%
"Mar 14, 2014",12.9297,12.9074,12.9337,12.8765,0.16%
"Mar 17, 2014",12.9211,12.9246,12.9424,12.8905,-0.07%
"Mar 18, 2014",12.8877,12.919,12.9288,12.8478,-0.26%
"Mar 19, 2014",12.8462,12.8856,12.9307,12.8172,-0.32%
"Mar 20, 2014",12.8153,12.8446,12.8657,12.7925,-0.24%
"Mar 21, 2014",12.7904,12.8137,12.8284,12.7834,-0.19%
"Mar 24, 2014",12.7982,12.7911,12.8291,12.7686,0.06%
"Mar 25, 2014",12.8203,12.7966,12.8382,12.7834,0.17%
"Mar 26, 2014",12.8682,12.8183,12.8773,12.8061,0.37%
"Mar 27, 2014",12.8853,12.8641,12.9161,12.8417,0.13%
"Mar 28, 2014",12.9077,12.8848,12.9186,12.8758,0.17%
